forecast_id,corridor_id,section_id,forecast_date,window_start,window_end,expected_train_count,lower_bound,upper_bound,confidence,expected_occupancy_minutes,synthetic_data
FORECAST-000001,COR-01,SEC-01,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,4,3,5,0.85,108,True
FORECAST-000002,COR-01,SEC-01,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,1,0,3,0.82,20,True
FORECAST-000003,COR-01,SEC-01,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,3,2,4,0.87,60,True
FORECAST-000004,COR-01,SEC-01,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,3,2,4,0.79,84,True
FORECAST-000005,COR-01,SEC-02,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,1,0,2,0.89,21,True
FORECAST-000006,COR-01,SEC-02,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,3,2,4,0.81,72,True
FORECAST-000007,COR-01,SEC-02,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,2,1,3,0.83,50,True
FORECAST-000008,COR-01,SEC-02,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,0,0,2,0.79,0,True
FORECAST-000009,COR-01,SEC-03,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,1,0,2,0.77,28,True
FORECAST-000010,COR-01,SEC-03,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,3,2,4,0.73,72,True
FORECAST-000011,COR-01,SEC-03,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,3,2,4,0.84,54,True
FORECAST-000012,COR-01,SEC-03,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,1,0,3,0.75,21,True
FORECAST-000013,COR-02,SEC-04,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,0,0,2,0.88,0,True
FORECAST-000014,COR-02,SEC-04,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,0,0,1,0.92,0,True
FORECAST-000015,COR-02,SEC-04,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,2,1,3,0.81,48,True
FORECAST-000016,COR-02,SEC-04,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,4,3,5,0.8,72,True
FORECAST-000017,COR-02,SEC-05,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,0,0,1,0.88,0,True
FORECAST-000018,COR-02,SEC-05,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,3,1,5,0.91,60,True
FORECAST-000019,COR-02,SEC-05,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,0,0,2,0.74,0,True
FORECAST-000020,COR-02,SEC-05,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,2,1,3,0.9,44,True
FORECAST-000021,COR-02,SEC-06,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,4,3,5,0.91,100,True
FORECAST-000022,COR-02,SEC-06,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,0,0,2,0.81,0,True
FORECAST-000023,COR-02,SEC-06,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,1,0,3,0.9,20,True
FORECAST-000024,COR-02,SEC-06,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,3,2,4,0.9,72,True
FORECAST-000025,COR-03,SEC-07,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,4,2,6,0.93,108,True
FORECAST-000026,COR-03,SEC-07,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,4,3,5,0.88,92,True
FORECAST-000027,COR-03,SEC-07,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,0,0,1,0.88,0,True
FORECAST-000028,COR-03,SEC-07,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,2,0,4,0.85,52,True
FORECAST-000029,COR-03,SEC-08,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,2,1,3,0.75,54,True
FORECAST-000030,COR-03,SEC-08,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,4,3,5,0.86,84,True
FORECAST-000031,COR-03,SEC-08,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,3,1,5,0.88,69,True
FORECAST-000032,COR-03,SEC-08,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,2,0,4,0.91,54,True
FORECAST-000033,COR-03,SEC-09,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,3,1,5,0.79,57,True
FORECAST-000034,COR-03,SEC-09,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,4,3,5,0.73,104,True
FORECAST-000035,COR-03,SEC-09,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,0,0,1,0.78,0,True
FORECAST-000036,COR-03,SEC-09,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,0,0,1,0.87,0,True
FORECAST-000037,COR-04,SEC-10,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,4,3,5,0.79,88,True
FORECAST-000038,COR-04,SEC-10,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,0,0,1,0.83,0,True
FORECAST-000039,COR-04,SEC-10,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,0,0,1,0.8,0,True
FORECAST-000040,COR-04,SEC-10,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,1,0,2,0.88,24,True
FORECAST-000041,COR-04,SEC-11,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,0,0,1,0.8,0,True
FORECAST-000042,COR-04,SEC-11,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,0,0,2,0.8,0,True
FORECAST-000043,COR-04,SEC-11,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,4,3,5,0.76,84,True
FORECAST-000044,COR-04,SEC-11,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,3,2,4,0.79,69,True
FORECAST-000045,COR-04,SEC-12,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,4,3,5,0.9,72,True
FORECAST-000046,COR-04,SEC-12,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,1,0,2,0.77,24,True
FORECAST-000047,COR-04,SEC-12,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,4,3,5,0.74,112,True
FORECAST-000048,COR-04,SEC-12,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,2,1,3,0.79,42,True
FORECAST-000049,COR-05,SEC-13,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,4,3,5,0.85,80,True
FORECAST-000050,COR-05,SEC-13,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,3,1,5,0.85,69,True
FORECAST-000051,COR-05,SEC-13,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,3,2,4,0.81,69,True
FORECAST-000052,COR-05,SEC-13,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,6,4,8,0.86,120,True
FORECAST-000053,COR-05,SEC-14,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,5,3,7,0.94,95,True
FORECAST-000054,COR-05,SEC-14,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,4,3,5,0.83,100,True
FORECAST-000055,COR-05,SEC-14,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,4,3,5,0.74,92,True
FORECAST-000056,COR-05,SEC-14,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,6,4,8,0.79,162,True
FORECAST-000057,COR-05,SEC-15,2026-09-01,2026-09-01T00:00:00,2026-09-01T06:00:00,6,5,7,0.81,156,True
FORECAST-000058,COR-05,SEC-15,2026-09-01,2026-09-01T06:00:00,2026-09-01T12:00:00,3,2,4,0.77,81,True
FORECAST-000059,COR-05,SEC-15,2026-09-01,2026-09-01T12:00:00,2026-09-01T18:00:00,7,5,9,0.77,168,True
FORECAST-000060,COR-05,SEC-15,2026-09-01,2026-09-01T18:00:00,2026-09-02T00:00:00,5,4,6,0.83,100,True
FORECAST-000061,COR-01,SEC-01,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,1,0,2,0.9,25,True
FORECAST-000062,COR-01,SEC-01,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,4,2,6,0.87,72,True
FORECAST-000063,COR-01,SEC-01,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,2,0,4,0.8,54,True
FORECAST-000064,COR-01,SEC-01,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,3,2,4,0.85,54,True
FORECAST-000065,COR-01,SEC-02,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,1,0,2,0.76,27,True
FORECAST-000066,COR-01,SEC-02,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,2,1,3,0.75,56,True
FORECAST-000067,COR-01,SEC-02,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,2,1,3,0.78,56,True
FORECAST-000068,COR-01,SEC-02,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,1,0,2,0.89,28,True
FORECAST-000069,COR-01,SEC-03,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,0,0,1,0.76,0,True
FORECAST-000070,COR-01,SEC-03,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,2,0,4,0.88,44,True
FORECAST-000071,COR-01,SEC-03,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,4,2,6,0.76,100,True
FORECAST-000072,COR-01,SEC-03,2026-09-02,2026-09-02T18:00:00,2026-09-03T00:00:00,0,0,1,0.81,0,True
FORECAST-000073,COR-02,SEC-04,2026-09-02,2026-09-02T00:00:00,2026-09-02T06:00:00,1,0,2,0.92,25,True
FORECAST-000074,COR-02,SEC-04,2026-09-02,2026-09-02T06:00:00,2026-09-02T12:00:00,2,1,3,0.88,38,True
FORECAST-000075,COR-02,SEC-04,2026-09-02,2026-09-02T12:00:00,2026-09-02T18:00:00,3,2,4,0.73,54,True
