movement_id,train_id,train_name,train_type,corridor_id,section_id,operating_date,scheduled_entry,scheduled_exit,priority,maximum_permissible_delay_minutes,synthetic_data
MOVE-000001,EXP-001,Gati Express 001,Express,COR-01,SEC-01,2026-09-01,2026-09-01T06:12:00,2026-09-01T06:20:00,9,5,True
MOVE-000002,PAS-002,Jan Pragati Passenger 002,Passenger,COR-01,SEC-01,2026-09-01,2026-09-01T11:05:00,2026-09-01T11:17:00,7,10,True
MOVE-000003,SUB-003,Gati Suburban 003,Suburban,COR-01,SEC-01,2026-09-01,2026-09-01T16:13:00,2026-09-01T16:28:00,6,8,True
MOVE-000004,GDS-004,Gati Freight 004,Goods,COR-01,SEC-01,2026-09-01,2026-09-01T18:50:00,2026-09-01T19:15:00,4,30,True
MOVE-000005,PAS-011,Jan Pragati Passenger 011,Passenger,COR-01,SEC-02,2026-09-01,2026-09-01T07:07:00,2026-09-01T07:27:00,7,10,True
MOVE-000006,SUB-012,Gati Suburban 012,Suburban,COR-01,SEC-02,2026-09-01,2026-09-01T10:33:00,2026-09-01T10:45:00,6,8,True
MOVE-000007,GDS-013,Gati Freight 013,Goods,COR-01,SEC-02,2026-09-01,2026-09-01T16:19:00,2026-09-01T16:49:00,4,30,True
MOVE-000008,EXP-014,Gati Express 014,Express,COR-01,SEC-02,2026-09-01,2026-09-01T21:03:00,2026-09-01T21:15:00,9,5,True
MOVE-000009,SUB-021,Gati Suburban 021,Suburban,COR-01,SEC-03,2026-09-01,2026-09-01T07:14:00,2026-09-01T07:31:00,6,8,True
MOVE-000010,GDS-022,Gati Freight 022,Goods,COR-01,SEC-03,2026-09-01,2026-09-01T10:42:00,2026-09-01T11:11:00,4,30,True
MOVE-000011,EXP-023,Gati Express 023,Express,COR-01,SEC-03,2026-09-01,2026-09-01T15:24:00,2026-09-01T15:35:00,9,5,True
MOVE-000012,PAS-024,Jan Pragati Passenger 024,Passenger,COR-01,SEC-03,2026-09-01,2026-09-01T18:32:00,2026-09-01T18:54:00,7,10,True
MOVE-000013,GDS-031,Gati Freight 031,Goods,COR-02,SEC-04,2026-09-01,2026-09-01T07:01:00,2026-09-01T07:19:00,4,30,True
MOVE-000014,EXP-032,Gati Express 032,Express,COR-02,SEC-04,2026-09-01,2026-09-01T11:11:00,2026-09-01T11:19:00,9,5,True
MOVE-000015,PAS-033,Jan Pragati Passenger 033,Passenger,COR-02,SEC-04,2026-09-01,2026-09-01T14:38:00,2026-09-01T14:50:00,7,10,True
MOVE-000016,SUB-034,Gati Suburban 034,Suburban,COR-02,SEC-04,2026-09-01,2026-09-01T20:07:00,2026-09-01T20:25:00,6,8,True
MOVE-000017,EXP-041,Gati Express 041,Express,COR-02,SEC-05,2026-09-01,2026-09-01T06:14:00,2026-09-01T06:30:00,9,5,True
MOVE-000018,PAS-042,Jan Pragati Passenger 042,Passenger,COR-02,SEC-05,2026-09-01,2026-09-01T09:27:00,2026-09-01T09:39:00,7,10,True
MOVE-000019,SUB-043,Gati Suburban 043,Suburban,COR-02,SEC-05,2026-09-01,2026-09-01T15:01:00,2026-09-01T15:14:00,6,8,True
MOVE-000020,GDS-044,Gati Freight 044,Goods,COR-02,SEC-05,2026-09-01,2026-09-01T19:48:00,2026-09-01T20:08:00,4,30,True
MOVE-000021,PAS-051,Jan Pragati Passenger 051,Passenger,COR-02,SEC-06,2026-09-01,2026-09-01T06:14:00,2026-09-01T06:27:00,7,10,True
MOVE-000022,SUB-052,Gati Suburban 052,Suburban,COR-02,SEC-06,2026-09-01,2026-09-01T10:09:00,2026-09-01T10:20:00,6,8,True
MOVE-000023,GDS-053,Gati Freight 053,Goods,COR-02,SEC-06,2026-09-01,2026-09-01T14:26:00,2026-09-01T14:52:00,4,30,True
MOVE-000024,EXP-054,Gati Express 054,Express,COR-02,SEC-06,2026-09-01,2026-09-01T18:18:00,2026-09-01T18:33:00,9,5,True
MOVE-000025,SUB-061,Gati Suburban 061,Suburban,COR-03,SEC-07,2026-09-01,2026-09-01T07:21:00,2026-09-01T07:31:00,6,8,True
MOVE-000026,GDS-062,Gati Freight 062,Goods,COR-03,SEC-07,2026-09-01,2026-09-01T09:37:00,2026-09-01T10:07:00,4,30,True
MOVE-000027,EXP-063,Gati Express 063,Express,COR-03,SEC-07,2026-09-01,2026-09-01T16:03:00,2026-09-01T16:11:00,9,5,True
MOVE-000028,PAS-064,Jan Pragati Passenger 064,Passenger,COR-03,SEC-07,2026-09-01,2026-09-01T21:02:00,2026-09-01T21:23:00,7,10,True
MOVE-000029,GDS-071,Gati Freight 071,Goods,COR-03,SEC-08,2026-09-01,2026-09-01T05:34:00,2026-09-01T06:00:00,4,30,True
MOVE-000030,EXP-072,Gati Express 072,Express,COR-03,SEC-08,2026-09-01,2026-09-01T09:48:00,2026-09-01T09:58:00,9,5,True
MOVE-000031,PAS-073,Jan Pragati Passenger 073,Passenger,COR-03,SEC-08,2026-09-01,2026-09-01T15:07:00,2026-09-01T15:21:00,7,10,True
MOVE-000032,SUB-074,Gati Suburban 074,Suburban,COR-03,SEC-08,2026-09-01,2026-09-01T19:21:00,2026-09-01T19:36:00,6,8,True
MOVE-000033,EXP-081,Gati Express 081,Express,COR-03,SEC-09,2026-09-01,2026-09-01T07:17:00,2026-09-01T07:29:00,9,5,True
MOVE-000034,PAS-082,Jan Pragati Passenger 082,Passenger,COR-03,SEC-09,2026-09-01,2026-09-01T09:38:00,2026-09-01T09:57:00,7,10,True
MOVE-000035,SUB-083,Gati Suburban 083,Suburban,COR-03,SEC-09,2026-09-01,2026-09-01T15:48:00,2026-09-01T16:00:00,6,8,True
MOVE-000036,GDS-084,Gati Freight 084,Goods,COR-03,SEC-09,2026-09-01,2026-09-01T20:22:00,2026-09-01T20:50:00,4,30,True
MOVE-000037,PAS-091,Jan Pragati Passenger 091,Passenger,COR-04,SEC-10,2026-09-01,2026-09-01T05:04:00,2026-09-01T05:17:00,7,10,True
MOVE-000038,SUB-092,Gati Suburban 092,Suburban,COR-04,SEC-10,2026-09-01,2026-09-01T09:03:00,2026-09-01T09:20:00,6,8,True
MOVE-000039,GDS-093,Gati Freight 093,Goods,COR-04,SEC-10,2026-09-01,2026-09-01T14:56:00,2026-09-01T15:23:00,4,30,True
MOVE-000040,EXP-094,Gati Express 094,Express,COR-04,SEC-10,2026-09-01,2026-09-01T19:05:00,2026-09-01T19:14:00,9,5,True
MOVE-000041,SUB-101,Gati Suburban 101,Suburban,COR-04,SEC-11,2026-09-01,2026-09-01T05:37:00,2026-09-01T05:53:00,6,8,True
MOVE-000042,GDS-102,Gati Freight 102,Goods,COR-04,SEC-11,2026-09-01,2026-09-01T11:14:00,2026-09-01T11:42:00,4,30,True
MOVE-000043,EXP-103,Gati Express 103,Express,COR-04,SEC-11,2026-09-01,2026-09-01T15:38:00,2026-09-01T15:52:00,9,5,True
MOVE-000044,PAS-104,Jan Pragati Passenger 104,Passenger,COR-04,SEC-11,2026-09-01,2026-09-01T20:46:00,2026-09-01T21:07:00,7,10,True
MOVE-000045,GDS-111,Gati Freight 111,Goods,COR-04,SEC-12,2026-09-01,2026-09-01T06:09:00,2026-09-01T06:32:00,4,30,True
MOVE-000046,EXP-112,Gati Express 112,Express,COR-04,SEC-12,2026-09-01,2026-09-01T10:29:00,2026-09-01T10:41:00,9,5,True
MOVE-000047,PAS-113,Jan Pragati Passenger 113,Passenger,COR-04,SEC-12,2026-09-01,2026-09-01T14:26:00,2026-09-01T14:38:00,7,10,True
MOVE-000048,SUB-114,Gati Suburban 114,Suburban,COR-04,SEC-12,2026-09-01,2026-09-01T21:23:00,2026-09-01T21:37:00,6,8,True
MOVE-000049,EXP-121,Gati Express 121,Express,COR-05,SEC-13,2026-09-01,2026-09-01T06:30:00,2026-09-01T06:46:00,9,5,True
MOVE-000050,PAS-122,Jan Pragati Passenger 122,Passenger,COR-05,SEC-13,2026-09-01,2026-09-01T10:18:00,2026-09-01T10:39:00,7,10,True
MOVE-000051,SUB-123,Gati Suburban 123,Suburban,COR-05,SEC-13,2026-09-01,2026-09-01T14:18:00,2026-09-01T14:31:00,6,8,True
MOVE-000052,GDS-124,Gati Freight 124,Goods,COR-05,SEC-13,2026-09-01,2026-09-01T21:02:00,2026-09-01T21:26:00,4,30,True
MOVE-000053,PAS-131,Jan Pragati Passenger 131,Passenger,COR-05,SEC-14,2026-09-01,2026-09-01T06:09:00,2026-09-01T06:26:00,7,10,True
MOVE-000054,SUB-132,Gati Suburban 132,Suburban,COR-05,SEC-14,2026-09-01,2026-09-01T10:07:00,2026-09-01T10:25:00,6,8,True
MOVE-000055,GDS-133,Gati Freight 133,Goods,COR-05,SEC-14,2026-09-01,2026-09-01T15:06:00,2026-09-01T15:31:00,4,30,True
MOVE-000056,EXP-134,Gati Express 134,Express,COR-05,SEC-14,2026-09-01,2026-09-01T18:00:00,2026-09-01T18:14:00,9,5,True
MOVE-000057,SUB-141,Gati Suburban 141,Suburban,COR-05,SEC-15,2026-09-01,2026-09-01T05:02:00,2026-09-01T05:16:00,6,8,True
MOVE-000058,GDS-142,Gati Freight 142,Goods,COR-05,SEC-15,2026-09-01,2026-09-01T09:27:00,2026-09-01T09:47:00,4,30,True
MOVE-000059,EXP-143,Gati Express 143,Express,COR-05,SEC-15,2026-09-01,2026-09-01T14:56:00,2026-09-01T15:08:00,9,5,True
MOVE-000060,PAS-144,Jan Pragati Passenger 144,Passenger,COR-05,SEC-15,2026-09-01,2026-09-01T21:04:00,2026-09-01T21:23:00,7,10,True
MOVE-000061,PAS-001,Jan Pragati Passenger 001,Passenger,COR-01,SEC-01,2026-09-02,2026-09-02T05:45:00,2026-09-02T06:04:00,7,10,True
MOVE-000062,SUB-002,Gati Suburban 002,Suburban,COR-01,SEC-01,2026-09-02,2026-09-02T10:01:00,2026-09-02T10:18:00,6,8,True
MOVE-000063,GDS-003,Gati Freight 003,Goods,COR-01,SEC-01,2026-09-02,2026-09-02T15:07:00,2026-09-02T15:26:00,4,30,True
MOVE-000064,EXP-004,Gati Express 004,Express,COR-01,SEC-01,2026-09-02,2026-09-02T18:22:00,2026-09-02T18:31:00,9,5,True
MOVE-000065,SUB-011,Gati Suburban 011,Suburban,COR-01,SEC-02,2026-09-02,2026-09-02T07:20:00,2026-09-02T07:32:00,6,8,True
MOVE-000066,GDS-012,Gati Freight 012,Goods,COR-01,SEC-02,2026-09-02,2026-09-02T09:33:00,2026-09-02T09:54:00,4,30,True
MOVE-000067,EXP-013,Gati Express 013,Express,COR-01,SEC-02,2026-09-02,2026-09-02T15:20:00,2026-09-02T15:34:00,9,5,True
MOVE-000068,PAS-014,Jan Pragati Passenger 014,Passenger,COR-01,SEC-02,2026-09-02,2026-09-02T18:44:00,2026-09-02T19:01:00,7,10,True
MOVE-000069,GDS-021,Gati Freight 021,Goods,COR-01,SEC-03,2026-09-02,2026-09-02T05:10:00,2026-09-02T05:38:00,4,30,True
MOVE-000070,EXP-022,Gati Express 022,Express,COR-01,SEC-03,2026-09-02,2026-09-02T09:07:00,2026-09-02T09:22:00,9,5,True
MOVE-000071,PAS-023,Jan Pragati Passenger 023,Passenger,COR-01,SEC-03,2026-09-02,2026-09-02T14:28:00,2026-09-02T14:46:00,7,10,True
MOVE-000072,SUB-024,Gati Suburban 024,Suburban,COR-01,SEC-03,2026-09-02,2026-09-02T19:33:00,2026-09-02T19:46:00,6,8,True
MOVE-000073,EXP-031,Gati Express 031,Express,COR-02,SEC-04,2026-09-02,2026-09-02T05:48:00,2026-09-02T06:01:00,9,5,True
MOVE-000074,PAS-032,Jan Pragati Passenger 032,Passenger,COR-02,SEC-04,2026-09-02,2026-09-02T10:28:00,2026-09-02T10:40:00,7,10,True
MOVE-000075,SUB-033,Gati Suburban 033,Suburban,COR-02,SEC-04,2026-09-02,2026-09-02T15:58:00,2026-09-02T16:16:00,6,8,True
MOVE-000076,GDS-034,Gati Freight 034,Goods,COR-02,SEC-04,2026-09-02,2026-09-02T18:00:00,2026-09-02T18:22:00,4,30,True
MOVE-000077,PAS-041,Jan Pragati Passenger 041,Passenger,COR-02,SEC-05,2026-09-02,2026-09-02T05:31:00,2026-09-02T05:48:00,7,10,True
MOVE-000078,SUB-042,Gati Suburban 042,Suburban,COR-02,SEC-05,2026-09-02,2026-09-02T09:25:00,2026-09-02T09:35:00,6,8,True
MOVE-000079,GDS-043,Gati Freight 043,Goods,COR-02,SEC-05,2026-09-02,2026-09-02T15:34:00,2026-09-02T16:01:00,4,30,True
MOVE-000080,EXP-044,Gati Express 044,Express,COR-02,SEC-05,2026-09-02,2026-09-02T20:35:00,2026-09-02T20:48:00,9,5,True
MOVE-000081,SUB-051,Gati Suburban 051,Suburban,COR-02,SEC-06,2026-09-02,2026-09-02T07:22:00,2026-09-02T07:33:00,6,8,True
